package,old_key,new_key
Cleanup,"%@ estimated reclaimable, %d photos moved to Recently Deleted",cleanup.cleanupHistory.estimatedReclaimablePhotosMovedRecently
Cleanup,"%@ estimated reclaimable, 1 photo moved to Recently Deleted",cleanup.cleanupHistory.estimatedReclaimable1PhotoMoved
Cleanup,%d items • %@ estimated reclaimable,cleanup.main.itemsEstimatedReclaimable
Cleanup,%d or more photos,cleanup.main.orMorePhotos
Cleanup,%d photos,cleanup.common.photos
Cleanup,%d photos moved to Recently Deleted.,cleanup.main.photosMovedToRecentlyDeleted
Cleanup,1 photo,cleanup.cleanupHistory.n1Photo
Cleanup,All clusters,cleanup.main.allClusters
Cleanup,All clusters reviewed,cleanup.main.allClustersReviewed
Cleanup,"All clusters reviewed. %d of %d clusters reviewed, %d selected, %@ estimated savings.",cleanup.main.allClustersReviewedSelectedEstimated
Cleanup,All review states,cleanup.main.allReviewStates
Cleanup,All-Time Impact,cleanup.cleanupHistory.allTimeImpact
Cleanup,Any size,cleanup.main.anySize
Cleanup,Changed,cleanup.main.changed
Cleanup,Cleanup,cleanup.main.cleanup
Cleanup,Cleanup History,cleanup.main.cleanupHistory
Cleanup,Cleanup Sessions,cleanup.cleanupHistory.cleanupSessions
Cleanup,Cleanup Unavailable,cleanup.main.cleanupUnavailable
Cleanup,Completed cleanups will appear here.,cleanup.cleanupHistory.completedCleanupsWillAppearHere
Cleanup,Continue Review,cleanup.main.continueReview
Cleanup,"Continue review. %d of %d clusters reviewed, %d remaining, %d selected, %@ estimated savings.",cleanup.main.continueReviewClustersReviewedRemaining
Cleanup,Couldn't Open Cleanup Category,cleanup.main.couldntOpenCleanupCategory
Cleanup,Dismiss cleanup status,cleanup.main.dismissCleanupStatus
Cleanup,Done,cleanup.main.done
Cleanup,Estimated Reclaimable,cleanup.cleanupHistory.estimatedReclaimable
Cleanup,Estimated Savings,cleanup.main.estimatedSavings
Cleanup,Everything else still available in your cleanup queue,cleanup.main.everythingElseStillAvailableCleanup
Cleanup,Favorites only,cleanup.main.favoritesOnly
Cleanup,Filter and Sort,cleanup.main.filterAndSort
Cleanup,Filter and sort clusters,cleanup.main.filterAndSortClusters
Cleanup,Filter by,cleanup.main.filterBy
Cleanup,Go to Scanner,cleanup.main.goToScanner
Cleanup,Hide this status message,cleanup.main.hideThisStatusMessage
Cleanup,Highest similarity,cleanup.main.highestSimilarity
Cleanup,History,cleanup.cleanupHistory.history
Cleanup,History Unavailable,cleanup.cleanupHistory.historyUnavailable
Cleanup,In review,cleanup.main.inReview
Cleanup,Largest cluster,cleanup.main.largestCluster
Cleanup,Locked,cleanup.main.locked
Cleanup,Minimum cluster size,cleanup.main.minimumClusterSize
Cleanup,Most space to save,cleanup.main.mostSpaceToSave
Cleanup,Moved to Recently Deleted,cleanup.cleanupHistory.movedToRecentlyDeleted
Cleanup,Needs review,cleanup.main.needsReview
Cleanup,New,cleanup.main.new
Cleanup,New and changed clusters after your latest rescan,cleanup.main.newChangedClustersAfterLatest
Cleanup,Newest,cleanup.main.newest
Cleanup,No Cleanup History,cleanup.cleanupHistory.noCleanupHistory
Cleanup,No Cleanup Opportunities,cleanup.main.noCleanupOpportunities
Cleanup,No Clusters Match These Controls,cleanup.main.noClustersMatchTheseControls
Cleanup,Not reviewed,cleanup.main.notReviewed
Cleanup,Nothing left to review right now,cleanup.main.nothingLeftReviewRightNow
Cleanup,OK,cleanup.main.ok
Cleanup,Open Alike this week to clear clutter and keep saving storage.,cleanup.cleanupReminderManager.openAlikeThisWeekClear
Cleanup,Open next cluster to continue cleanup,cleanup.main.openNextClusterContinueCleanup
Cleanup,Open this cleanup category,cleanup.main.openThisCleanupCategory
Cleanup,Open this cluster to review photos,cleanup.main.openThisClusterReviewPhotos
Cleanup,Opens the upgrade options,cleanup.main.opensTheUpgradeOptions
Cleanup,Photos Moved to Recently Deleted,cleanup.cleanupHistory.photosMovedToRecentlyDeleted
Cleanup,Pick up where you left off,cleanup.main.pickUpWhereLeftOff
Cleanup,Ready for another cleanup?,cleanup.cleanupReminderManager.readyForAnotherCleanup
Cleanup,Recent Activity,cleanup.cleanupHistory.recentActivity
Cleanup,Refresh Required,cleanup.main.refreshRequired
Cleanup,Refreshing Cleanup,cleanup.main.refreshingCleanup
Cleanup,Remaining,cleanup.main.remaining
Cleanup,Rescan,cleanup.main.rescan
Cleanup,Rescan Photos,cleanup.main.rescanPhotos
Cleanup,Reset controls,cleanup.main.resetControls
Cleanup,Retry,cleanup.cleanupHistory.retry
Cleanup,Review status,cleanup.main.reviewStatus
Cleanup,Reviewed,cleanup.main.reviewed
Cleanup,Run a new scan to refresh cleanup suggestions.,cleanup.main.runNewScanRefreshCleanup
Cleanup,Scan Failed,cleanup.main.scanFailed
Cleanup,Scan Your Library First,cleanup.main.scanYourLibraryFirst
Cleanup,Scanning your library… %d%%,cleanup.main.scanningYourLibrary
Cleanup,Selected,cleanup.main.selected
Cleanup,Smart Cleanup,cleanup.main.smartCleanup
Cleanup,Sort by,cleanup.main.sortBy
Cleanup,Sort order,cleanup.main.sortOrder
Cleanup,Start a scan to find similar photos and smart cleanup suggestions.,cleanup.main.startScanFindSimilarPhotos
Cleanup,Storage may not be freed until items are permanently deleted from Recently Deleted.,cleanup.cleanupHistory.storageMayNotBeFreed
Cleanup,"The photos were deleted, but the library refresh failed. Run a new scan to refresh your results.",cleanup.main.photosWereDeletedButLibrary
Cleanup,Try changing filters or resetting controls.,cleanup.main.tryChangingFiltersResettingControls
Cleanup,Unable to load cleanup history.,cleanup.cleanupHistory.unableToLoadCleanupHistory
Cleanup,Unlock advanced filters,cleanup.main.unlockAdvancedFilters
Cleanup,Your cleanup results are up to date.,cleanup.main.cleanupResultsUpDate
Cleanup,Your latest scan did not find similar photos or smart categories to review.,cleanup.main.latestScanDidNotFind
Cleanup,Your library changed,cleanup.main.yourLibraryChanged
Core,%d likely blurred photos available for review.,core.cleanupCategory.likelyBlurredPhotosAvailableReview
Core,%d screenshots available for review.,core.cleanupCategory.screenshotsAvailableForReview
Core,"%d selected, estimated size %@.",core.cleanupCategory.selectedEstimatedSize
Core,1 likely blurred photo available for review.,core.cleanupCategory.n1LikelyBlurredPhotoAvailable
Core,1 screenshot available for review.,core.cleanupCategory.n1ScreenshotAvailableForReview
Core,"1 selected, estimated size %@.",core.cleanupCategory.n1SelectedEstimatedSize
Core,Blurred Photo Cleanup,core.cleanupCategory.blurredPhotoCleanup
Core,Blurred Photos,core.cleanupCategory.blurredPhotos
Core,Blurred photo cleanup is a premium feature,core.cleanupCategory.blurredPhotoCleanupPremiumFeature
Core,Likely low-quality photos based on on-device analysis. Review before deleting.,core.cleanupCategory.likelyLowQualityPhotosBased
Core,Move %d Selected Blurred Photos to Recently Deleted?,core.cleanupCategory.moveSelectedBlurredPhotosRecently
Core,Move %d Selected Screenshots to Recently Deleted?,core.cleanupCategory.moveSelectedScreenshotsRecentlyDeleted
Core,Move 1 Selected Blurred Photo to Recently Deleted?,core.cleanupCategory.move1SelectedBlurredPhoto
Core,Move 1 Selected Screenshot to Recently Deleted?,core.cleanupCategory.move1SelectedScreenshotRecently
Core,No Blurred Photos Found,core.cleanupCategory.noBlurredPhotosFound
Core,No Screenshots Found,core.cleanupCategory.noScreenshotsFound
Core,Open blurred photo cleanup,core.cleanupCategory.openBlurredPhotoCleanup
Core,Open screenshot cleanup,core.cleanupCategory.openScreenshotCleanup
Core,Opens the premium paywall for blurred photo cleanup,core.cleanupCategory.opensPremiumPaywallBlurredPhoto
Core,Opens the premium paywall for screenshot cleanup,core.cleanupCategory.opensPremiumPaywallScreenshotCleanup
Core,Run a new scan after your library changes or if more photos need review.,core.cleanupCategory.runNewScanAfterLibrary
Core,Screenshot Cleanup,core.cleanupCategory.screenshotCleanup
Core,Screenshot cleanup is a premium feature,core.cleanupCategory.screenshotCleanupPremiumFeature
Core,Screenshots,core.cleanupCategory.screenshots
Core,"The selected photo will be removed from your library and other devices using iCloud Photos, then remain in Recently Deleted for up to 30 days. Storage may not be freed until it is permanently deleted. Estimated reclaimable space: %@.",core.cleanupCategory.selectedPhotoWillBeRemoved
Core,"The selected photos will be removed from your library and other devices using iCloud Photos, then remain in Recently Deleted for up to 30 days. Storage may not be freed until they are permanently deleted. Estimated reclaimable space: %@.",core.cleanupCategory.selectedPhotosWillBeRemoved
Core,"The selected screenshot will be removed from your library and other devices using iCloud Photos, then remain in Recently Deleted for up to 30 days. Storage may not be freed until it is permanently deleted. Estimated reclaimable space: %@.",core.cleanupCategory.selectedScreenshotWillBeRemoved
Core,"The selected screenshots will be removed from your library and other devices using iCloud Photos, then remain in Recently Deleted for up to 30 days. Storage may not be freed until they are permanently deleted. Estimated reclaimable space: %@.",core.cleanupCategory.selectedScreenshotsWillBeRemoved
Core,Try rescanning after your library updates.,core.cleanupCategory.tryRescanningAfterLibraryUpdates
Core,Unlock blurred photo cleanup to review likely low-quality shots before deleting them with the same safe confirmation flow.,core.cleanupCategory.unlockBlurredPhotoCleanupReview
